overall_rank,display_name,position,team,tier,points_total_pred,points_per_game_pred,vor,position_rank,live_adp,bye_week,manual_adjustment,override_note
1,Jahmyr Gibbs,RB,DET,1,394.14643912707777,29.148439780328797,280.9588733921,1,1.6,6,0.0,
2,Justin Jefferson,WR,MIN,1,347.098240351444,24.43918393877233,219.19729012009907,1,13.2,6,0.0,
3,Bijan Robinson,RB,ATL,2,284.98350053048966,21.072486825001594,171.79593479551187,2,2.0,11,0.0,
4,Jeremiyah Love,RB,ARI,2,282.07055034807695,20.9312254424756,168.88298461309915,3,25.1,14,0.0,
5,Ashton Jeanty,RB,LV,2,278.30242432613113,20.61863942247464,165.11485859115334,4,14.0,13,0.0,
6,Zay Flowers,WR,BAL,2,286.77288302121553,20.213058141281852,158.87193278987058,2,26.7,13,0.0,
7,Ja'Marr Chase,WR,CIN,2,286.7049729982017,20.3473048305382,158.80402276685675,3,3.9,6,0.0,
8,Jaxon Smith-Njigba,WR,SEA,2,284.69515500461915,20.091192924153784,156.7942047732742,4,6.0,11,0.0,
9,De'Von Achane,RB,MIA,2,262.6652723501114,19.592346617366434,149.47770661513363,5,9.3,6,0.0,
10,Amon-Ra St. Brown,WR,DET,2,274.4282082612795,19.328346210791935,146.52725802993456,5,7.1,6,0.0,
11,Breece Hall,RB,NYJ,2,251.49473868887077,18.80948375317297,138.30717295389297,6,28.4,13,0.0,
12,DeVonta Smith,WR,PHI,3,252.66385541505144,17.9558600930275,124.7629051837065,6,29.0,10,0.0,
13,Puka Nacua,WR,LA,3,250.43371574474173,18.071642019282514,122.53276551339678,7,2.8,11,0.0,
14,Tetairoa McMillan,WR,CAR,3,248.6900652399517,17.56749977934296,120.78911500860676,8,33.9,5,0.0,
15,Quinshon Judkins,RB,CLE,2,224.75361138534532,17.12759240110563,111.56604565036751,7,49.4,11,0.0,
16,Christian McCaffrey,RB,SF,2,223.77248345301658,17.13213279194234,110.58491771803877,8,5.2,8,0.0,
17,Trey McBride,TE,ARI,1,230.72989388370598,16.71056413800061,103.06709769969959,1,35.3,14,0.0,
18,Chase Brown,RB,CIN,2,215.3125463878856,15.936813583031906,102.12498065290778,9,12.3,6,0.0,
19,Derrick Henry,RB,BAL,2,207.6424406680212,15.225315416180152,94.4548749330434,10,16.2,13,0.0,
20,Emeka Egbuka,WR,TB,4,217.25058163670556,15.340329298018668,89.34963140536061,9,33.6,10,0.0,
21,Javonte Williams,RB,DAL,2,200.83321255019678,14.9563167705207,87.64564681521897,11,36.5,14,0.0,
22,James Cook,RB,BUF,2,198.5981114032975,14.692063459367256,85.4105456683197,12,15.3,7,0.0,
23,TreVeyon Henderson,RB,NE,2,197.97105370891384,14.649793040388094,84.78348797393603,13,55.9,11,0.0,
24,Jadarian Price,RB,SEA,2,197.18548982072804,14.606614649841806,83.99792408575023,14,64.9,11,0.0,
25,Drake London,WR,ATL,4,211.59220971283878,15.527095068315399,83.69125948149383,10,10.8,11,0.0,
26,Kyren Williams,RB,LA,2,196.55983526999017,14.555481088909772,83.37226953501236,15,32.2,11,0.0,
27,Omarion Hampton,RB,LAC,2,195.31519514986348,15.695373148168068,82.12762941488567,16,19.8,7,0.0,
28,Chris Olave,WR,NO,4,206.329719579266,14.998005765489681,78.42876934792105,11,20.1,8,0.0,
29,Harold Fannin Jr.,TE,CLE,2,206.01406709014373,15.073223799843136,78.35127090613733,2,80.2,11,0.0,
30,Jonathan Taylor,RB,IND,2,191.49840476151553,14.24189573825912,78.31083902653772,17,7.6,13,0.0,
31,Tyler Warren,TE,IND,2,205.69170882053044,14.89274051310891,78.02891263652404,3,66.1,13,0.0,
32,Brock Bowers,TE,LV,2,204.366730418548,15.480878940705034,76.7039342345416,4,40.7,13,0.0,
33,Patrick Mahomes,QB,KC,1,329.7740196667344,22.402324270643163,75.89399996140395,1,96.2,5,0.0,
34,Tony Pollard,RB,TEN,2,188.93250016483785,13.941634036413985,75.74493442986004,18,62.5,9,0.0,
35,Josh Allen,QB,BUF,1,329.6118377295878,22.150829472716236,75.7318180242574,2,26.6,7,0.0,
36,George Pickens,WR,DAL,4,203.45518453069778,14.452265940677787,75.55423429935283,12,21.4,14,0.0,
37,RJ Harvey,RB,DEN,2,187.23690727046625,13.830432779059372,74.04934153548844,19,83.3,10,0.0,
38,D'Andre Swift,RB,CHI,2,184.71903882412377,13.737221892576379,71.53147308914596,20,44.7,10,0.0,
39,Bo Nix,QB,DEN,2,312.975373454933,20.93363584210846,59.095353749602566,3,120.2,10,0.0,
40,Travis Kelce,TE,KC,3,186.1547693070675,13.352980189457195,58.491973123061115,5,95.5,5,0.0,
41,Kyle Pitts,TE,ATL,3,184.39488415357675,13.329773441314996,56.73208796957036,6,79.1,11,0.0,
42,Wan'Dale Robinson,WR,TEN,5,182.32918336390648,12.949551129563705,54.42823313256153,13,71.1,9,0.0,
43,Colston Loveland,TE,CHI,3,181.8463355667526,13.301203427702962,54.183539382746204,7,61.2,10,0.0,
44,Hunter Henry,TE,NE,3,174.5188553680042,12.579394558812151,46.856059183997814,8,156.5,11,0.0,
45,Ladd McConkey,WR,LAC,5,173.76471377280802,12.38176585121017,45.86376354146307,14,44.1,7,0.0,
46,Aaron Rodgers,QB,PIT,3,295.7139512159261,19.684543475304114,41.833931510595676,4,166.6,9,0.0,
47,CeeDee Lamb,WR,DAL,5,167.5091295406296,12.228886829496378,39.60817930928465,15,11.3,14,0.0,
48,Drake Maye,QB,NE,3,292.57729785841013,19.74312717468342,38.69727815307971,5,50.0,11,0.0,
49,Mark Andrews,TE,BAL,3,163.53167559263807,11.764437180215726,35.86887940863167,9,136.7,13,0.0,
50,Dallas Goedert,TE,PHI,3,160.23854901814778,11.955173750856646,32.57575283414138,10,105.2,10,0.0,
51,Jerry Jeudy,WR,CLE,5,158.98588115605367,11.192812496612497,31.084930924708715,16,134.5,11,0.0,
52,Brian Thomas Jr.,WR,JAX,5,156.74516168740016,11.325296299002478,28.844211456055206,17,83.5,7,0.0,
53,Nico Collins,WR,HOU,5,155.02537013110654,11.223568673623461,27.12441989976159,18,23.0,8,0.0,
54,A.J. Brown,WR,NE,5,154.82710023078587,11.160587031821793,26.926149999440923,19,17.4,11,0.0,
55,Carnell Tate,WR,TEN,5,153.34401826352993,10.84912653686422,25.443068032184982,20,75.8,9,0.0,
56,Juwan Johnson,TE,NO,3,152.72271320250562,11.05682959271275,25.05991701849922,11,157.2,8,0.0,
57,Jaylen Waddle,WR,DEN,5,151.1559751538282,10.769272928410924,23.255024922483244,21,48.9,10,0.0,
58,Mason Taylor,TE,NYJ,3,149.37627052364746,11.225329227907443,21.713474339641067,12,,,0.0,
59,Jakobi Meyers,WR,JAX,5,147.43568773640575,10.484971453900526,19.534737505060804,22,77.0,7,0.0,
60,Jake Ferguson,TE,DAL,3,146.83033406676708,10.6840958850661,19.167537882760683,13,140.1,14,0.0,
61,Jameson Williams,WR,DET,5,145.58897019018744,10.316690667198372,17.68801995884249,23,46.0,6,0.0,
62,Oronde Gadsden II,TE,LAC,3,144.65348332887325,10.663973932339756,16.990687144866854,14,155.1,7,0.0,
63,Courtland Sutton,WR,DEN,5,144.27737606545557,10.151037616746542,16.37642583411062,24,59.5,10,0.0,
64,Kenyon Sadiq,TE,NYJ,3,140.81962468055542,10.223476168624549,13.156828496549025,15,158.2,13,0.0,
65,Dalton Schultz,TE,HOU,3,140.67748752120403,10.128402502218423,13.014691337197632,16,157.4,8,0.0,
66,Cade Otton,TE,TB,3,140.41236879275357,10.397623818386814,12.749572608747172,17,,,0.0,
67,Khalil Shakir,WR,BUF,5,139.60719196319013,9.957182800307512,11.706241731845182,25,100.7,7,0.0,
68,Lamar Jackson,QB,BAL,4,263.7760708050521,18.006328844332497,9.89605109972166,6,53.6,13,0.0,
69,Jordyn Tyson,WR,NO,5,137.76134395685253,9.742930239215964,9.860393725507578,26,85.2,8,0.0,
70,Davante Adams,WR,LA,5,135.43810449984278,9.77305320189706,7.537154268497829,27,41.2,11,0.0,
71,Chuba Hubbard,RB,CAR,3,120.57380102265898,9.112120922006277,7.386235287681174,21,74.6,5,0.0,
72,Jalen Hurts,QB,PHI,4,261.05772770954997,17.601359209788555,7.177708004219539,7,74.5,10,0.0,
73,Jaxson Dart,QB,NYG,4,260.64104324919424,17.766176024002664,6.761023543863814,8,104.3,8,0.0,
74,Josh Downs,WR,IND,5,134.64857079008405,9.641650211377895,6.747620558739101,28,91.9,13,0.0,
75,Caleb Williams,QB,CHI,4,260.4434492339128,17.438867268233412,6.56342952858239,9,106.6,10,0.0,
76,Makai Lemon,WR,PHI,5,133.67242850254792,9.452150433605258,5.771478271202966,29,105.8,10,0.0,
77,Chig Okonkwo,TE,WAS,3,132.95072414512202,9.62700887480373,5.287927961115628,18,163.7,7,0.0,
78,Baker Mayfield,QB,TB,4,258.6081578797769,17.24539820850495,4.728138174446485,10,129.2,10,0.0,
79,Kenneth Walker III,RB,KC,3,117.53346730894579,8.839853813159433,4.3459015739679785,22,26.7,5,0.0,
80,Alvin Kamara,RB,NO,3,116.87855670473675,9.191985996447434,3.6909909697589427,23,133.7,8,0.0,
81,Jordan Addison,WR,MIN,5,131.56807645275273,9.55174695475172,3.667126221407784,30,102.3,6,0.0,
82,Saquon Barkley,RB,PHI,3,116.46689929206131,8.669710210986814,3.279333557083504,24,18.6,10,0.0,
83,Jared Goff,QB,DET,4,256.1394649079334,17.075589289524714,2.25944520260299,11,105.9,6,0.0,
84,Justin Herbert,QB,LAC,4,256.0799059146312,17.19812366813714,2.1998862093007574,12,109.1,7,0.0,
85,Elic Ayomanor,WR,TEN,5,127.90095023134495,9.103441324468024,0.0,31,,,0.0,
86,Trevor Lawrence,QB,JAX,4,253.88001970533043,17.195583436092,0.0,13,90.1,7,0.0,
87,Tyrone Tracy Jr.,RB,NYG,3,113.18756573497781,8.503928398199662,0.0,25,156.1,8,0.0,
88,T.J. Hockenson,TE,MIN,3,127.6627961840064,9.55093524305207,0.0,19,154.5,6,0.0,
89,Sam LaPorta,TE,DET,4,127.26626148093777,9.952075389985907,-0.3965347030686246,20,87.5,6,0.0,
90,Theo Johnson,TE,NYG,4,126.87597761712011,9.500934299952993,-0.7868185668862822,21,,,0.0,
91,Michael Wilson,WR,ARI,6,127.07965463910632,8.974568184221601,-0.8212955922386271,32,88.1,14,0.0,
92,Josh Jacobs,RB,GB,4,111.9511053222338,8.394304916492235,-1.2364604127440089,26,24.7,11,0.0,
93,George Kittle,TE,SF,4,126.32684093233892,9.623642027483825,-1.335955251667471,22,119.5,8,0.0,
94,Tre Tucker,WR,LV,6,126.42749396536993,8.914905865566254,-1.4734562659750168,33,136.4,13,0.0,
95,Marvin Harrison Jr.,WR,ARI,6,126.13438647616746,9.26600092718228,-1.7665637551774864,34,63.4,14,0.0,
96,DK Metcalf,WR,PIT,6,126.03232856214377,9.04091392688963,-1.8686216692011755,35,65.4,9,0.0,
